#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_10-6-22\Sample Specific Files\iMata_GDANB_Pt2_SampleManifest.xlsx -> Sheet 1

IlluminaID	ExternalID
202202033-01	COP30129
202202000-01	COP30086
202001848-14	#N/A
202201860-01	CHC0295
202202106-01	CCP0220
202202146-01	CCC0160
202201879-01	CHP0314
202201926-01	COP30017
202117859-06	#N/A
202001960-14	#N/A
202201957-01	COP30034
202202112-01	CCP0226
202001961-14	#N/A
202201824-01	CHP0257
202202023-01	COP30112
202202157-01	UCHP0003
202201828-01	CHP0261
202201925-01	UMP00103
202202167-01	CCP0033
202201838-01	CHP0272
202202045-01	COP30143
202202221-01	CCP0285
202202229-01	CHC0362
202118978-14	#N/A
202202028-01	COP30119
202201955-01	UMC01114
202001962-14	#N/A
202202199-01	CCP0190
202110843-15	#N/A
202202181-01	CCP0137
202202163-01	CCP0022
202202047-01	COP30147
202202034-01	COP30130
202201810-01	CHP0243
202202081-01	MXP0039
202202076-01	MXP0021
202202172-01	UCHP0014
202201990-01	MXP0018
202201873-01	CHP0308
202201923-01	UMC01938
202202092-01	CCC0219
202201819-01	CHP0252
202202035-01	COP30131
202201835-01	CHP0269
202202182-01	UCHP0017
202201820-01	CHP0253
202202233-01	CHC0369
202202140-01	CCP0276
202104656-15	#N/A
202201980-01	COP30058
202202141-01	CCP0277
202202134-01	CCP0264
202202043-01	COP30133
202202059-01	MXC0011
202202115-01	CCP0232
202201905-01	COP30008
202202107-01	CCP0221
202202057-01	MXP0047
202202240-01	COC07193
202201801-01	CHP0234
202202156-01	UCHP0002
202201783-01	CHP0215
202202053-01	COP30154
202202132-01	CCP0262
202203994-06	#N/A
202202006-01	COP30093
202202248-01	COC07169
202201590-23	#N/A
