#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_2-24-23\Sample Specific Files\iMata_GDANB_SampleSheet_672.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
202219734-01,207117380001,R05C01
202219759-01,207117380001,R06C01
202219680-01,207117380001,R07C01
202219346-01,207117380001,R08C01
202219274-01,207117380020,R01C01
202219586-01,207117380020,R02C01
202219739-01,207117380020,R03C01
202219585-01,207117380020,R04C01
202219279-01,207117380020,R05C01
202219337-01,207117380020,R06C01
202219498-01,207117380020,R07C01
202219413-01,207117380020,R08C01
202219612-01,207117380029,R01C01
202219682-01,207117380029,R02C01
202219301-01,207117380029,R03C01
202219769-01,207117380029,R04C01
201207480-04_pt3pG,207117380029,R05C01
202219822-01,207117380029,R06C01
202219331-01,207117380029,R07C01
202219378-01,207117380029,R08C01
202219867-01,207087150078,R01C01
202023846-01,207087150078,R02C01
202219283-01,207087150078,R03C01
202219246-01,207087150078,R04C01
202219372-01,207087150078,R05C01
202219668-01,207087150078,R06C01
202219256-01,207087150078,R07C01
202219845-01,207087150078,R08C01
202219617-01,207117380030,R01C01
202219312-01,207117380030,R02C01
202219269-01,207117380030,R03C01
202219763-01,207117380030,R04C01
202219711-01,207117380030,R05C01
202219323-01,207117380030,R06C01
202219379-01,207117380030,R07C01
202202137-01,207117380030,R08C01
202219725-01,207087150055,R01C01
202219677-01,207087150055,R02C01
202219724-01,207087150055,R03C01
202219440-01,207087150055,R04C01
202219540-01,207087150055,R05C01
202219683-01,207087150055,R06C01
202219642-01,207087150055,R07C01
202219773-01,207087150055,R08C01
202219627-01,207117380021,R01C01
202219435-01,207117380021,R02C01
202219341-01,207117380021,R03C01
202219261-01,207117380021,R04C01
202219222-01,207117380021,R05C01
202219690-01,207117380021,R06C01
202219670-01,207117380021,R07C01
202219653-01,207117380021,R08C01
202219676-01,207117380019,R01C01
202219441-01,207117380019,R02C01
202219450-01,207117380019,R03C01
202219306-01,207117380019,R04C01
202219868-01,207117380019,R05C01
202219219-01,207117380019,R06C01
202219593-01,207117380019,R07C01
202219831-01,207117380019,R08C01
202219633-01,207087150043,R01C01
202219499-01,207087150043,R02C01
202219375-01,207087150043,R03C01
202219511-01,207087150043,R04C01
202219216-01,207087150043,R05C01
202219814-01,207087150043,R06C01
202219745-01,207087150043,R07C01
202219228-01,207087150043,R08C01
202219631-01,207087150045,R01C01
202219460-01,207087150045,R02C01
202219218-01,207087150045,R03C01
202219764-01,207087150045,R04C01
202219270-01,207087150045,R05C01
202219403-01,207087150045,R06C01
202219737-01,207087150045,R07C01
202219431-01,207087150045,R08C01
202219840-01,207117380012,R01C01
202219833-01,207117380012,R02C01
202219843-01,207117380012,R03C01
202219527-01,207117380012,R04C01
202219628-01,207117380012,R05C01
202219753-01,207117380012,R06C01
202219227-01,207117380012,R07C01
202219755-01,207117380012,R08C01
202219669-01,207117380011,R01C01
202219230-01,207117380011,R02C01
202219750-01,207117380011,R03C01
202219260-01,207117380011,R04C01
202219412-01,207117380011,R05C01
202219454-01,207117380011,R06C01
202219848-01,207117380011,R07C01
202219700-01,207117380011,R08C01
202219589-01,207087150072,R01C01
202219313-01,207087150072,R02C01
202219369-01,207087150072,R03C01
202219428-01,207087150072,R04C01
202219211-01,207087150072,R05C01
202219416-01,207087150072,R06C01
202219662-01,207087150072,R07C01
202219528-01,207087150072,R08C01
202219722-01,207087150070,R01C01
202219542-01,207087150070,R02C01
202219865-01,207087150070,R03C01
202219251-01,207087150070,R04C01
202219242-01,207087150070,R05C01
202219529-01,207087150070,R06C01
202219465-01,207087150070,R07C01
201207480-04_pt3pG_2,207087150070,R08C01
