#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_2-24-23\Sample Specific Files\iMata_GDANB_Pt3_SampleManifest.xlsx -> Genotyped sheet

IlluminaID	ExternalID
202219381-01	PPP2149
202219284-01	MIP00066
202219486-01	MIP00235
202219538-01	PPC2618
202219870-01	PPC2550
202219703-01	PPC2317
202219544-01	PPC2625
202219747-01	PPC2371
202219521-01	PPC2596
202219335-01	MIP00107
202219342-01	MIP00113
202219705-01	PPC2321
202219614-01	PPC2207
202219308-01	MIP00085
202219482-01	MIP00231
202219329-01	PPP2143
202219877-01	PPC2557
202219469-01	MIP00221
202219878-01	PPC2558
202219300-01	MIP00077
202219846-01	PPC2522
202219520-01	PPC2595
202219659-01	PPC2260
202219305-01	MIP00082
202219823-01	PPC2497
202219684-01	PPC2296
202219852-01	PPC2528
202219239-01	MIP00026
202219699-01	PPC2313
202219572-01	PPP2265
202219720-01	PPC2340
202219425-01	PPP2161
202219741-01	PPC2362
202219526-01	PPC2604
202219780-01	PPC2436
202219360-01	MIP00128
202219541-01	PPC2621
202219385-01	PPP2163
202219869-01	PPC2549
202219563-01	PPC2649
202219383-01	MIP00148
202219768-01	PPC2408
202219787-01	PPC2450
202219253-01	MIP00039
202219636-01	PPC2232
202219632-01	PPC2227
202202201-01	CCP0176
202219797-01	PPC2470
202219374-01	MIP00141
202219508-01	PPC2582
202219626-01	PPC2219
202219519-01	PPC2594
202219307-01	MIP00084
202219477-01	PPP2231
202219453-01	MIP00206
202219634-01	PPC2229
202219651-01	PPC2041
202219664-01	PPC2267
202219235-01	MIP00022
202219532-01	PPC2612
202219702-01	PPC2316
202219693-01	PPC2307
202219587-01	PPC2689
202219384-01	MIP00149
202219809-01	PPC2483
202219466-01	MIP00218
202219484-01	MIP00233
202219252-01	MIP00038
202219661-01	PPC2262
202219249-01	MIP00035
202023842-01	ARP0017
202219393-01	PPP2151
202219817-01	PPC2491
202219550-01	PPC2634
201207480-04_pt3pF	HIHG Control
202219562-01	PPC2647
202219463-01	MIP00216
202219303-01	MIP00080
202219345-01	MIP00116
202219835-01	PPC2509
202219480-01	MIP00230
202219295-01	MIP00074
202219597-01	PPC2185
202219391-01	MIP00155
202219405-01	PPP2164
202219805-01	PPC2478
202219325-01	MIP00098
202219394-01	PPP2154
202219851-01	PPC2527
202219611-01	PPC2204
202219770-01	PPC2410
202219820-01	PPC2494
202219276-01	MIP00058
202219827-01	PPC2501
202219470-01	MIP00222
202219510-01	PPC2585
202219880-01	PPC2560
202219355-01	PPP2146
202219234-01	MIP00021
202219356-01	PPP2147
202219395-01	PPP2155
202219555-01	PPC2639
202219652-01	PPC2042
202219730-01	PPC2350
202219290-01	MIP00069
202219223-01	MIP00014
202219457-01	MIP00210
202219429-01	MIP00186
202219595-01	PPC2177
202219639-01	PPC2239
202219709-01	PPC2327
202219660-01	PPC2261
202219237-01	MIP00024
202219619-01	PPC2212
202219451-01	PPP2201
202219411-01	MIP00172
202219829-01	PPC2503
202219315-01	MIP00091
202219534-01	PPC2614
202219731-01	PPC2351
202219734-01	PPC2354
202219759-01	PPC2388
202219680-01	PPC2292
202219346-01	MIP00117
202219274-01	MIP00056
202219586-01	PPC2677
202219739-01	PPC2360
202219585-01	PPC2676
202219279-01	MIP00061
202219337-01	MIP00109
202219498-01	PPC2562
202219413-01	MIP00174
202219612-01	PPC2205
202219682-01	PPC2294
202219301-01	MIP00078
202219769-01	PPC2409
201207480-04_pt3pG	HIHG Control
202219822-01	PPC2496
202219331-01	MIP00103
202219378-01	MIP00145
202219867-01	PPC2545
202023846-01	ARP0021
202219283-01	MIP00065
202219246-01	MIP00032
202219372-01	MIP00139
202219668-01	PPC2273
202219256-01	MIP00041
202219845-01	PPC2521
202219617-01	PPC2210
202219312-01	MIP00088
202219269-01	MIP00052
202219763-01	PPC2403
202219711-01	PPC2329
202219323-01	PPP2141
202219379-01	MIP00146
202202137-01	UCHP0034
202219725-01	PPC2345
202219677-01	PPC2289
202219724-01	PPC2344
202219440-01	MIP00196
202219540-01	PPC2620
202219683-01	PPC2295
202219642-01	PPC2037
202219773-01	PPC2414
202219627-01	PPC2035
202219435-01	MIP00192
202219341-01	MIP00112
202219261-01	MIP00044
202219222-01	MIP00013
202219690-01	PPC2302
202219670-01	PPC2275
202219653-01	PPC2254
202219676-01	PPC2288
202219441-01	MIP00197
202219450-01	MIP00205
202219306-01	MIP00083
202219868-01	PPC2548
202219219-01	MIP00010
202219593-01	PPC2175
202219831-01	PPC2505
202219633-01	PPC2228
202219499-01	PPC2563
202219375-01	MIP00142
202219511-01	PPC2586
202219216-01	MIP00007
202219814-01	PPC2488
202219745-01	PPC2369
202219228-01	PPP2100
202219631-01	PPC2224
202219460-01	MIP00213
202219218-01	MIP00009
202219764-01	PPC2404
202219270-01	MIP00053
202219403-01	MIP00165
202219737-01	PPC2357
202219431-01	MIP00188
202219840-01	PPC2514
202219833-01	PPC2507
202219843-01	PPC2519
202219527-01	PPC2605
202219628-01	PPC2221
202219753-01	PPC2377
202219227-01	PPP2277
202219755-01	PPC2381
202219669-01	PPC2274
202219230-01	MIP00018
202219750-01	PPC2374
202219260-01	PPP2111
202219412-01	MIP00173
202219454-01	MIP00207
202219848-01	PPC2524
202219700-01	PPC2314
202219589-01	PPP2268
202219313-01	MIP00089
202219369-01	MIP00136
202219428-01	MIP00185
202219211-01	MIP00003
202219416-01	PPP2165
202219662-01	PPC2263
202219528-01	PPC2607
202219722-01	PPC2342
202219542-01	PPC2623
202219865-01	PPC2696
202219251-01	MIP00037
202219242-01	MIP00029
202219529-01	PPC2609
202219465-01	MIP00217
201207480-04_pt3pG_2	HIHG Control
