#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data-7-28-23\iMata_GDANB_Pt4\Sample Specific Files\iMata_pt4_GDANB_SampleSheet_Final.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A,
202303704-01,207408280094,R03C01,
202303869-01,207408280094,R04C01,
202303581-01,207408280094,R05C01,
202303516-01,207408280094,R06C01,
202303513-01,207408280094,R07C01,
202303327-01,207408280094,R08C01,
202303728-01,207455320077,R01C01,
202303858-01,207455320077,R02C01,
202303363-01,207455320077,R03C01,
202303831-01,207455320077,R04C01,
202303608-01,207455320077,R05C01,
202303342-01,207455320077,R06C01,
202303883-01,207455320077,R07C01,
202303868-01,207455320077,R08C01,
202303638-01,207455320127,R01C01,
202303580-01,207455320127,R02C01,
202303641-01,207455320127,R03C01,
202303336-01,207455320127,R04C01,
202303529-01,207455320127,R05C01,
202303814-01,207455320127,R06C01,
202303779-01,207455320127,R07C01,
202303735-01,207455320127,R08C01,
202303733-01,207455320124,R01C01,
202303756-01,207455320124,R02C01,
202303381-01,207455320124,R03C01,
202303548-01,207455320124,R04C01,
202303811-01,207455320124,R05C01,
202303886-01,207455320124,R06C01,
202303394-01,207455320124,R07C01,
202303672-01,207455320124,R08C01,
202303467-01,207455320113,R01C01,
202303448-01,207455320113,R02C01,
202303649-01,207455320113,R03C01,
202303888-01,207455320113,R04C01,
202303763-01,207455320113,R05C01,
202303878-01,207455320113,R06C01,
202303820-01,207455320113,R07C01,
202303691-01,207455320113,R08C01,
202303595-01,207455320130,R01C01,
202303620-01,207455320130,R02C01,
202303509-01,207455320130,R03C01,
202303738-01,207455320130,R04C01,
202303597-01,207455320130,R05C01,
202303723-01,207455320130,R06C01,
202303523-01,207455320130,R07C01,
202303681-01,207455320130,R08C01,
202303724-01,207455320078,R01C01,
202303646-01,207455320078,R02C01,
202303315-01,207455320078,R03C01,
202303855-01,207455320078,R04C01,
202303456-01,207455320078,R05C01,
202303897-01,207455320078,R06C01,
202303679-01,207455320078,R07C01,
202303502-01,207455320078,R08C01,
202303750-01,207455320129,R01C01,
202303335-01,207455320129,R02C01,
202303361-01,207455320129,R03C01,
202303842-01,207455320129,R04C01,
202303545-01,207455320129,R05C01,
202303841-01,207455320129,R06C01,
202303542-01,207455320129,R07C01,
202303351-01,207455320129,R08C01,
202303519-01,207455320076,R01C01,
202303792-01,207455320076,R02C01,
202303786-01,207455320076,R03C01,
202303612-01,207455320076,R04C01,
202303887-01,207455320076,R05C01,
202303875-01,207455320076,R06C01,
202303760-01,207455320076,R07C01,
202303840-01,207455320076,R08C01,
202303464-01,207408280083,R01C01,
202303546-01,207408280083,R02C01,
202303505-01,207408280083,R03C01,
202303815-01,207408280083,R04C01,
202303713-01,207408280083,R05C01,
201207480-04_pE,207408280083,R06C01,
202303573-01,207408280083,R07C01,
202303429-01,207408280083,R08C01,
202303853-01,207408280084,R01C01,
202303740-01,207408280084,R02C01,
202303594-01,207408280084,R03C01,
202303533-01,207408280084,R04C01,
202303666-01,207408280084,R05C01,
202303323-01,207408280084,R06C01,
202303626-01,207408280084,R07C01,
202303611-01,207408280084,R08C01,
202303737-01,207408280061,R01C01,
202303899-01,207408280061,R02C01,
202303697-01,207408280061,R03C01,
202303369-01,207408280061,R04C01,
202303544-01,207408280061,R05C01,
202303884-01,207408280061,R06C01,
202303687-01,207408280061,R07C01,
202303541-01,207408280061,R08C01,
202303652-01,207408280063,R01C01,
202303487-01,207408280063,R02C01,
202303373-01,207408280063,R03C01,
202303400-01,207408280063,R04C01,
202303477-01,207408280063,R05C01,
202303525-01,207408280063,R06C01,
202303460-01,207408280063,R07C01,
202303677-01,207408280063,R08C01,
202303825-01,207408280071,R01C01,
202303776-01,207408280071,R02C01,
202303668-01,207408280071,R03C01,
202303671-01,207408280071,R04C01,
202303650-01,207408280071,R05C01,
202303731-01,207408280071,R06C01,
202303403-01,207408280071,R07C01,
202303540-01,207408280071,R08C01,
202303796-01,207408280054,R01C01,
202303348-01,207408280054,R02C01,
202303489-01,207408280054,R03C01,
202303788-01,207408280054,R04C01,
202303354-01,207408280054,R05C01,
202303603-01,207408280054,R06C01,
202303481-01,207408280054,R07C01,
202303564-01,207408280054,R08C01,
202303753-01,207408280053,R01C01,
202303674-01,207408280053,R02C01,
202303665-01,207408280053,R03C01,
202303812-01,207408280053,R04C01,
201207480-04_pF,207408280053,R05C01,
202303500-01,207408280053,R06C01,
202303378-01,207408280053,R07C01,
202303377-01,207408280053,R08C01,
202303817-01,207408280082,R01C01,
202303535-01,207408280082,R02C01,
202303484-01,207408280082,R03C01,
202303492-01,207408280082,R04C01,
202303838-01,207408280082,R05C01,
202303781-01,207408280082,R06C01,
202303355-01,207408280082,R07C01,
202303712-01,207408280082,R08C01,
202303503-01,207455320073,R01C01,
202303880-01,207455320073,R02C01,
202303700-01,207455320073,R03C01,
202303441-01,207455320073,R04C01,
202303726-01,207455320073,R05C01,
202303434-01,207455320073,R06C01,
202303392-01,207455320073,R07C01,
202303577-01,207455320073,R08C01,
202303615-01,207455320041,R01C01,
202303780-01,207455320041,R02C01,
202303793-01,207455320041,R03C01,
202303609-01,207455320041,R04C01,
202303474-01,207455320041,R05C01,
202303490-01,207455320041,R06C01,
202303693-01,207455320041,R07C01,
202303659-01,207455320041,R08C01,
202303575-01,207455320074,R01C01,
202303836-01,207455320074,R02C01,
202303495-01,207455320074,R03C01,
202303393-01,207455320074,R04C01,
202303353-01,207455320074,R05C01,
202303517-01,207455320074,R06C01,
202303312-01,207455320074,R07C01,
202303414-01,207455320074,R08C01,
202303759-01,207455320098,R01C01,
202303396-01,207455320098,R02C01,
202303479-01,207455320098,R03C01,
202303376-01,207455320098,R04C01,
202303455-01,207455320098,R05C01,
202303850-01,207455320098,R06C01,
202303470-01,207455320098,R07C01,
202303476-01,207455320098,R08C01,
202303534-01,207455320083,R01C01,
202303783-01,207455320083,R02C01,
202303639-01,207455320083,R03C01,
202303589-01,207455320083,R04C01,
202303632-01,207455320083,R05C01,
202303566-01,207455320083,R06C01,
202303877-01,207455320083,R07C01,
202303765-01,207455320083,R08C01,
202303531-01,207455320105,R01C01,
202303627-01,207455320105,R02C01,
202303720-01,207455320105,R03C01,
202303550-01,207455320105,R04C01,
202303436-01,207455320105,R05C01,
202303768-01,207455320105,R06C01,
202303636-01,207455320105,R07C01,
202303462-01,207455320105,R08C01,
202303343-01,207455320115,R01C01,
202303686-01,207455320115,R02C01,
202303865-01,207455320115,R03C01,
202303304-01,207455320115,R04C01,
202303427-01,207455320115,R05C01,
202303662-01,207455320115,R06C01,
202303384-01,207455320115,R07C01,
202303676-01,207455320115,R08C01,
202303586-01,207455320067,R01C01,
202303560-01,207455320067,R02C01,
202303459-01,207455320067,R03C01,
202303567-01,207455320067,R04C01,
202303543-01,207455320067,R05C01,
202303368-01,207455320067,R06C01,
202303660-01,207455320067,R07C01,
202303475-01,207455320067,R08C01,
202303480-01,207408280078,R01C01,
202303678-01,207408280078,R02C01,
202303413-01,207408280078,R03C01,
202303557-01,207408280078,R04C01,
202303430-01,207408280078,R05C01,
202303695-01,207408280078,R06C01,
202303432-01,207408280078,R07C01,
202303404-01,207408280078,R08C01,
202303379-01,207408280079,R01C01,
202303844-01,207408280079,R02C01,
202303358-01,207408280079,R03C01,
